pattern_id,pattern_type,source_account_id,destination_account_id,source_customer_id,destination_customer_id,transfer_count,total_amount,max_amount,pattern_risk_score,pattern_explanation,recommended_action
GRAPH-PATTERN-000001,HIGH_INBOUND_COLLECTION_HUB,,ACC001009,,CUST000045,8,905.0,378.3,65.6,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000002,HIGH_INBOUND_COLLECTION_HUB,,ACC000344,,CUST000746,8,676.69,292.79,65.45,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000003,HIGH_INBOUND_COLLECTION_HUB,,ACC000325,,CUST000242,7,3221.57,2698.15,65.15,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000004,HIGH_INBOUND_COLLECTION_HUB,,ACC001277,,CUST000198,6,7420.82,6878.9,63.95,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000005,HIGH_INBOUND_COLLECTION_HUB,,ACC000939,,CUST000876,7,1411.42,969.67,63.94,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000006,HIGH_INBOUND_COLLECTION_HUB,,ACC000974,,CUST000814,7,733.58,272.26,63.49,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000007,HIGH_INBOUND_COLLECTION_HUB,,ACC000529,,CUST000990,7,716.03,569.29,63.48,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000008,HIGH_INBOUND_COLLECTION_HUB,,ACC000241,,CUST000290,7,413.1,154.73,63.28,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000009,HIGH_INBOUND_COLLECTION_HUB,,ACC001119,,CUST000717,6,4044.56,3875.12,61.7,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000010,HIGH_INBOUND_COLLECTION_HUB,,ACC000077,,CUST000278,6,2119.36,1777.05,60.41,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000011,HIGH_INBOUND_COLLECTION_HUB,,ACC001287,,CUST000376,6,2024.27,1330.2,60.35,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000012,HIGH_INBOUND_COLLECTION_HUB,,ACC000906,,CUST000318,6,1669.64,992.93,60.11,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000013,HIGH_INBOUND_COLLECTION_HUB,,ACC000715,,CUST000183,5,7315.18,7193.12,59.88,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000014,HIGH_INBOUND_COLLECTION_HUB,,ACC000935,,CUST000461,6,1010.25,641.35,59.67,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000015,HIGH_INBOUND_COLLECTION_HUB,,ACC000415,,CUST000250,6,965.49,355.69,59.64,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000016,HIGH_INBOUND_COLLECTION_HUB,,ACC000288,,CUST000663,6,603.58,287.67,59.4,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000017,HIGH_INBOUND_COLLECTION_HUB,,ACC000054,,CUST000190,6,599.18,245.05,59.4,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000018,HIGH_INBOUND_COLLECTION_HUB,,ACC000534,,CUST000353,6,400.28,204.74,59.27,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000019,HIGH_INBOUND_COLLECTION_HUB,,ACC000860,,CUST000286,6,337.26,111.5,59.22,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000020,HIGH_INBOUND_COLLECTION_HUB,,ACC000022,,CUST000041,6,319.86,139.06,59.21,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000021,HIGH_INBOUND_COLLECTION_HUB,,ACC000090,,CUST000666,5,5833.8,3951.0,58.89,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000022,HIGH_INBOUND_COLLECTION_HUB,,ACC000857,,CUST000192,5,4993.42,2951.52,58.33,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000023,HIGH_INBOUND_COLLECTION_HUB,,ACC001255,,CUST000585,5,2435.38,2245.17,56.62,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000024,HIGH_INBOUND_COLLECTION_HUB,,ACC000564,,CUST000818,5,2005.15,1821.33,56.34,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000025,HIGH_INBOUND_COLLECTION_HUB,,ACC000309,,CUST000395,4,7529.3,5804.84,56.02,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000026,HIGH_INBOUND_COLLECTION_HUB,,ACC000411,,CUST000458,4,7518.27,6845.1,56.01,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000027,HIGH_INBOUND_COLLECTION_HUB,,ACC000636,,CUST000530,5,1332.68,952.54,55.89,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000028,HIGH_INBOUND_COLLECTION_HUB,,ACC000509,,CUST000140,5,959.94,706.74,55.64,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000029,HIGH_INBOUND_COLLECTION_HUB,,ACC000450,,CUST000580,5,795.76,548.42,55.53,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000030,HIGH_INBOUND_COLLECTION_HUB,,ACC000588,,CUST000459,5,671.74,265.26,55.45,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000031,HIGH_INBOUND_COLLECTION_HUB,,ACC000927,,CUST000697,5,575.8,248.55,55.38,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000032,HIGH_INBOUND_COLLECTION_HUB,,ACC000078,,CUST000298,5,568.32,190.48,55.38,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000033,HIGH_INBOUND_COLLECTION_HUB,,ACC000989,,CUST000193,5,531.37,250.8,55.35,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000034,HIGH_INBOUND_COLLECTION_HUB,,ACC000988,,CUST000697,5,505.79,252.11,55.34,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000035,HIGH_INBOUND_COLLECTION_HUB,,ACC000859,,CUST000481,5,455.68,173.68,55.3,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000036,HIGH_INBOUND_COLLECTION_HUB,,ACC001005,,CUST000863,5,445.27,298.01,55.3,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000037,HIGH_INBOUND_COLLECTION_HUB,,ACC000531,,CUST000536,5,442.56,302.6,55.3,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000038,HIGH_INBOUND_COLLECTION_HUB,,ACC001184,,CUST000997,5,425.56,164.86,55.28,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000039,HIGH_INBOUND_COLLECTION_HUB,,ACC000023,,CUST000426,5,407.46,215.57,55.27,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000040,HIGH_INBOUND_COLLECTION_HUB,,ACC000809,,CUST000285,5,394.25,180.03,55.26,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000041,HIGH_INBOUND_COLLECTION_HUB,,ACC000310,,CUST000699,5,383.76,162.09,55.26,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000042,HIGH_INBOUND_COLLECTION_HUB,,ACC000594,,CUST000844,5,366.19,147.95,55.24,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000043,HIGH_INBOUND_COLLECTION_HUB,,ACC000318,,CUST000383,5,362.15,178.23,55.24,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000044,HIGH_INBOUND_COLLECTION_HUB,,ACC000187,,CUST000767,5,362.09,142.26,55.24,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000045,HIGH_INBOUND_COLLECTION_HUB,,ACC001033,,CUST000405,5,333.2,196.87,55.22,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000046,HIGH_INBOUND_COLLECTION_HUB,,ACC000044,,CUST000488,5,331.93,155.46,55.22,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000047,HIGH_INBOUND_COLLECTION_HUB,,ACC000690,,CUST000499,5,328.88,124.04,55.22,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000048,HIGH_INBOUND_COLLECTION_HUB,,ACC001243,,CUST000736,5,289.82,92.53,55.19,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000049,HIGH_INBOUND_COLLECTION_HUB,,ACC000980,,CUST000295,5,288.52,134.27,55.19,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000050,HIGH_INBOUND_COLLECTION_HUB,,ACC000873,,CUST000909,5,275.57,126.5,55.18,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000051,HIGH_INBOUND_COLLECTION_HUB,,ACC000141,,CUST000448,5,272.91,81.57,55.18,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000052,HIGH_INBOUND_COLLECTION_HUB,,ACC001160,,CUST000268,5,256.0,119.41,55.17,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000053,HIGH_INBOUND_COLLECTION_HUB,,ACC000825,,CUST000204,5,232.99,78.29,55.16,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000054,HIGH_INBOUND_COLLECTION_HUB,,ACC001204,,CUST000644,5,218.52,111.0,55.15,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000055,HIGH_INBOUND_COLLECTION_HUB,,ACC000907,,CUST000001,5,186.41,73.38,55.12,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000056,HIGH_INBOUND_COLLECTION_HUB,,ACC000070,,CUST000352,5,182.15,67.79,55.12,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000057,HIGH_INBOUND_COLLECTION_HUB,,ACC000967,,CUST000188,5,182.0,53.84,55.12,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000058,HIGH_INBOUND_COLLECTION_HUB,,ACC000475,,CUST000132,5,146.27,53.08,55.1,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000059,HIGH_INBOUND_COLLECTION_HUB,,ACC000188,,CUST000371,4,5779.98,5409.29,54.85,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000060,HIGH_INBOUND_COLLECTION_HUB,,ACC000547,,CUST000454,4,3746.05,3577.06,53.5,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000061,HIGH_INBOUND_COLLECTION_HUB,,ACC000712,,CUST000724,4,3320.2,2890.33,53.21,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000062,HIGH_INBOUND_COLLECTION_HUB,,ACC000350,,CUST000915,4,3082.65,2883.3,53.06,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000063,HIGH_INBOUND_COLLECTION_HUB,,ACC000135,,CUST000741,4,2658.0,2328.74,52.77,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000064,HIGH_INBOUND_COLLECTION_HUB,,ACC000664,,CUST000826,4,2414.98,2236.19,52.61,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000065,HIGH_INBOUND_COLLECTION_HUB,,ACC000843,,CUST000921,3,7214.32,5142.79,51.81,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000066,HIGH_INBOUND_COLLECTION_HUB,,ACC000901,,CUST000613,3,5798.49,5528.47,50.87,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000067,HIGH_INBOUND_COLLECTION_HUB,,ACC000853,,CUST000671,3,5418.39,5361.18,50.61,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000068,HIGH_INBOUND_COLLECTION_HUB,,ACC001206,,CUST000535,3,5326.01,4791.33,50.55,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000069,HIGH_INBOUND_COLLECTION_HUB,,ACC001226,,CUST000071,3,4871.03,4859.21,50.25,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000070,HIGH_INBOUND_COLLECTION_HUB,,ACC000405,,CUST000892,3,4131.92,3158.67,49.75,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000071,HIGH_INBOUND_COLLECTION_HUB,,ACC000600,,CUST000858,1,15876.94,15876.94,49.58,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000072,HIGH_INBOUND_COLLECTION_HUB,,ACC000158,,CUST000345,3,3810.55,3527.51,49.54,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000073,HIGH_INBOUND_COLLECTION_HUB,,ACC000931,,CUST000989,3,3476.46,3111.0,49.32,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000074,HIGH_INBOUND_COLLECTION_HUB,,ACC000947,,CUST000493,3,3334.83,3205.73,49.22,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000075,HIGH_INBOUND_COLLECTION_HUB,,ACC000293,,CUST000867,3,3134.14,3077.58,49.09,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000076,HIGH_INBOUND_COLLECTION_HUB,,ACC000267,,CUST000850,3,3039.47,2924.23,49.03,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000077,HIGH_INBOUND_COLLECTION_HUB,,ACC000965,,CUST000096,3,2907.36,2574.79,48.94,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000078,HIGH_INBOUND_COLLECTION_HUB,,ACC000089,,CUST000896,3,2764.88,2640.92,48.84,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000079,HIGH_INBOUND_COLLECTION_HUB,,ACC000622,,CUST000021,3,2620.21,2536.68,48.75,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000080,HIGH_OUTBOUND_TRANSFER_HUB,ACC000324,,CUST000675,,3,16102.29,15876.94,48.73,One account sends funds to many destinations or sends unusually high total transfer value.,Review outgoing transfer activity and verify customer purpose.
GRAPH-PATTERN-000081,HIGH_INBOUND_COLLECTION_HUB,,ACC000621,,CUST000788,3,2575.23,2431.81,48.72,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000082,HIGH_INBOUND_COLLECTION_HUB,,ACC000356,,CUST000250,3,2502.03,2478.84,48.67,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000083,HIGH_INBOUND_COLLECTION_HUB,,ACC000757,,CUST000770,3,2308.07,2261.02,48.54,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000084,HIGH_INBOUND_COLLECTION_HUB,,ACC000321,,CUST000171,2,7198.74,7146.28,47.8,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000085,HIGH_INBOUND_COLLECTION_HUB,,ACC000527,,CUST000580,2,6746.55,3685.79,47.5,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000086,HIGH_INBOUND_COLLECTION_HUB,,ACC001220,,CUST000287,2,6594.14,6349.59,47.4,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000087,HIGH_INBOUND_COLLECTION_HUB,,ACC000091,,CUST000340,2,6541.26,6497.91,47.36,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000088,HIGH_INBOUND_COLLECTION_HUB,,ACC000498,,CUST000782,2,5791.23,5749.13,46.86,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000089,HIGH_INBOUND_COLLECTION_HUB,,ACC000784,,CUST000503,2,5530.86,5474.18,46.69,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000090,HIGH_INBOUND_COLLECTION_HUB,,ACC000869,,CUST000813,2,5200.12,5186.63,46.47,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000091,HIGH_INBOUND_COLLECTION_HUB,,ACC000080,,CUST000612,2,4523.1,4473.99,46.02,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000092,HIGH_INBOUND_COLLECTION_HUB,,ACC000396,,CUST000251,2,4492.41,4474.02,45.99,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000093,HIGH_INBOUND_COLLECTION_HUB,,ACC000342,,CUST000435,2,4154.44,4026.68,45.77,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000094,HIGH_INBOUND_COLLECTION_HUB,,ACC001170,,CUST000375,2,3873.14,3736.89,45.58,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000095,HIGH_INBOUND_COLLECTION_HUB,,ACC001124,,CUST000292,2,3599.59,3591.74,45.4,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000096,HIGH_INBOUND_COLLECTION_HUB,,ACC000067,,CUST000655,2,3325.41,3306.67,45.22,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000097,HIGH_INBOUND_COLLECTION_HUB,,ACC000222,,CUST000651,2,3190.92,2748.8,45.13,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000098,HIGH_OUTBOUND_TRANSFER_HUB,ACC000987,,CUST000127,,6,6176.9,5186.63,45.12,One account sends funds to many destinations or sends unusually high total transfer value.,Review outgoing transfer activity and verify customer purpose.
GRAPH-PATTERN-000099,HIGH_INBOUND_COLLECTION_HUB,,ACC001007,,CUST000778,2,3143.1,3091.66,45.1,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000100,HIGH_INBOUND_COLLECTION_HUB,,ACC000106,,CUST000367,2,2780.33,2761.76,44.85,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000101,HIGH_INBOUND_COLLECTION_HUB,,ACC000474,,CUST000663,2,2637.03,2610.97,44.76,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000102,HIGH_INBOUND_COLLECTION_HUB,,ACC000817,,CUST000686,2,2605.61,2476.72,44.74,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000103,HIGH_OUTBOUND_TRANSFER_HUB,ACC001250,,CUST000554,,8,2151.25,1724.0,44.43,One account sends funds to many destinations or sends unusually high total transfer value.,Review outgoing transfer activity and verify customer purpose.
GRAPH-PATTERN-000104,RECIPROCAL_TRANSFERS,ACC000201,ACC001005,CUST000785,CUST000863,2,308.14,298.01,44.31,"Two accounts send funds to each other, creating a reciprocal transfer pattern.",Review whether transfers have a legitimate purpose or indicate circular fund movement.
GRAPH-PATTERN-000105,HIGH_INBOUND_COLLECTION_HUB,,ACC001298,,CUST000969,1,7744.68,7744.68,44.16,One account receives funds from many sources or receives unusually high total transfer value.,Review whether this account is acting as a collection point.
GRAPH-PATTERN-000106,RECIPROCAL_TRANSFERS,ACC000945,ACC001255,CUST000004,CUST000585,2,82.57,43.17,44.08,"Two accounts send funds to each other, creating a reciprocal transfer pattern.",Review whether transfers have a legitimate purpose or indicate circular fund movement.
GRAPH-PATTERN-000107,RECIPROCAL_TRANSFERS,ACC000356,ACC001081,CUST000250,CUST000741,2,36.29,25.57,44.04,"Two accounts send funds to each other, creating a reciprocal transfer pattern.",Review whether transfers have a legitimate purpose or indicate circular fund movement.
GRAPH-PATTERN-000108,HIGH_OUTBOUND_TRANSFER_HUB,ACC000113,,CUST000109,,4,6977.79,6845.1,43.65,One account sends funds to many destinations or sends unusually high total transfer value.,Review outgoing transfer activity and verify customer purpose.
GRAPH-PATTERN-000109,HIGH_OUTBOUND_TRANSFER_HUB,ACC000051,,CUST000636,,8,665.72,231.87,43.44,One account sends funds to many destinations or sends unusually high total transfer value.,Review outgoing transfer activity and verify customer purpose.
GRAPH-PATTERN-000110,HIGH_OUTBOUND_TRANSFER_HUB,ACC000607,,CUST000712,,4,6507.44,6349.59,43.34,One account sends funds to many destinations or sends unusually high total transfer value.,Review outgoing transfer activity and verify customer purpose.
